Bill.com Entity,Bill.com Object ID,Bill.com Line ID,NetSuite Record ID,NetSuite Sublist ID,NetSuite Line ID
Bill,00n02SDJPACUYSJqg7a6,bli02TSWJDRHLZ1gc5ck,5567110,expense,1
Bill,00n02JVIETBGQSOqg7cu,bli02WNXOLYMHH1gc5sk,5567111,expense,1
Bill,00n02STPUYKNALHqg7gy,bli02HMLVVNEYK1gc682,5567112,expense,1
Bill,00n02WLIEMELKORqg7jf,bli02GCYVUSDHB1gc6dj,5567113,expense,1
Bill,00n02QSDBCHLEXEqgiit,bli02JUQUYDBHX1gctph,5576194,expense,1
Bill,00n02MJHQEJJJZWqgjh9,bli02YWPLZZKRO1gcv56,5576195,expense,1
Bill,00n02IXWFZEINGYqgk5c,bli02MZOVDDVXF1gcw5n,5576196,expense,1
Bill,00n02DTCZBMZERTqgkxi,bli02CVGTHXTZS1gcxvt,5576197,expense,1
Bill,00n02CDXASZEVOZqj5ci,bli02HSVSHMWJL1gi549,5576198,expense,1
Bill,00n02QUHIDHYWZUqj5df,bli02PGKZJVOED1gi55e,5576199,expense,1
Bill,00n02FXGWHTSCLYqj5en,bli02GECMPKJPN1gi582,5576200,expense,1
Bill,00n02NSWWLHLCZIqj5fi,bli02HHXXRRMRH1gi5ac,5576201,expense,1
Bill,00n02GTATBVZSEIqj5i2,bli02WQGGNGHKD1gi5kg,5576202,expense,1
Bill,00n02NVAIKYUNQCqj5iz,bli02NSKXQEQFY1gi5q0,5576203,expense,1
Bill,00n02LRAGSBWVCMqj5jm,bli02AUEKNMJLX1gi5sb,5576204,expense,1
Bill,00n02USIMJPMFGWqj5kc,bli02RXCHQPUVK1gi5tv,5576205,expense,1
Bill,00n02DPMSVTQHWUqj5l8,bli02DCAUPLCEO1gi5zp,5576206,expense,1
Bill,00n02UNWGFSJDXEqj5mi,bli02NFPQDRJQE1gi64x,5576207,expense,1
Bill,00n02NHHBBSJGPOqj5n5,bli02TLXLDEZFE1gi699,5576208,expense,1
Bill,00n02VAFMEHYQUDqj5o0,bli02FZNFJQOHE1gi6go,5576209,expense,1
Bill,00n02XKOZJQLHLNqj5py,bli02JDKYQKLYL1gi6lk,5576210,expense,1
Bill,00n02CVVZRLGUQDqj5qt,bli02TGTFZQJUW1gi6n8,5576211,expense,1
Bill,00n02MHMDLALGMIqj5rh,bli02ANPEJZQVJ1gi6o3,5576212,expense,1
Bill,00n02WCJJKNXCEKqj5t3,bli02XDUJCYFQF1gi6xz,5576213,expense,1
Bill,00n02JAKGQGSJCPqj5u0,bli02BULQZWHHR1gi72m,5576214,expense,1
Bill,00n02DEQHMAIVHWqj5us,bli02KIRJOQVZN1gi74d,5576215,expense,1
